
> crawlindex@0.1.0 crawl C:\Builder\crawlindex
> tsx worker/crawl.ts "--limit" "6000" "--concurrency" "24"

Crawling 5050 domains at concurrency 24...

  25/5050  ok:17 fail:8 changes:0  2.5/s
  50/5050  ok:41 fail:9 changes:0  2.6/s
  75/5050  ok:61 fail:14 changes:0  3.0/s
  100/5050  ok:82 fail:18 changes:0  3.1/s
  125/5050  ok:103 fail:22 changes:0  3.1/s
  150/5050  ok:120 fail:30 changes:0  3.3/s
  175/5050  ok:140 fail:35 changes:0  3.4/s
  200/5050  ok:159 fail:41 changes:0  3.6/s
  225/5050  ok:180 fail:45 changes:0  3.6/s
  250/5050  ok:183 fail:67 changes:0  3.2/s
  275/5050  ok:184 fail:91 changes:0  3.0/s
  300/5050  ok:185 fail:115 changes:0  3.0/s
  325/5050  ok:200 fail:125 changes:0  3.1/s
  350/5050  ok:216 fail:134 changes:0  3.2/s
  375/5050  ok:237 fail:138 changes:0  3.2/s
  400/5050  ok:258 fail:142 changes:0  3.3/s
  425/5050  ok:279 fail:146 changes:0  3.4/s
  450/5050  ok:299 fail:151 changes:0  3.4/s
  475/5050  ok:315 fail:160 changes:0  3.4/s
  500/5050  ok:336 fail:164 changes:0  3.4/s
  525/5050  ok:359 fail:166 changes:0  3.4/s
  550/5050  ok:377 fail:173 changes:0  3.4/s
  575/5050  ok:396 fail:179 changes:0  3.4/s
  600/5050  ok:415 fail:185 changes:0  3.4/s
  625/5050  ok:435 fail:190 changes:0  3.4/s
  650/5050  ok:456 fail:194 changes:0  3.3/s
  675/5050  ok:475 fail:200 changes:0  3.3/s
  700/5050  ok:496 fail:204 changes:0  3.4/s
  725/5050  ok:517 fail:208 changes:0  3.4/s
  750/5050  ok:536 fail:214 changes:0  3.4/s
  775/5050  ok:555 fail:220 changes:0  3.4/s
  800/5050  ok:574 fail:226 changes:0  3.4/s
  825/5050  ok:597 fail:228 changes:0  3.4/s
  850/5050  ok:615 fail:235 changes:0  3.4/s
  875/5050  ok:634 fail:241 changes:0  3.4/s
  900/5050  ok:649 fail:251 changes:0  3.4/s
  925/5050  ok:667 fail:258 changes:0  3.3/s
  950/5050  ok:687 fail:263 changes:0  3.3/s
  975/5050  ok:707 fail:268 changes:0  3.4/s
  1000/5050  ok:727 fail:273 changes:0  3.4/s
  1025/5050  ok:750 fail:275 changes:0  3.4/s
  1050/5050  ok:763 fail:287 changes:0  3.4/s
  1075/5050  ok:782 fail:293 changes:0  3.4/s
  1100/5050  ok:800 fail:300 changes:0  3.3/s
  1125/5050  ok:809 fail:316 changes:0  3.3/s
  1150/5050  ok:826 fail:324 changes:0  3.3/s
  1175/5050  ok:845 fail:330 changes:0  3.3/s
  1200/5050  ok:864 fail:336 changes:0  3.3/s
  1225/5050  ok:883 fail:342 changes:0  3.3/s
  1250/5050  ok:901 fail:349 changes:0  3.3/s
  1275/5050  ok:918 fail:357 changes:0  3.3/s
  1300/5050  ok:937 fail:363 changes:0  3.3/s
  1325/5050  ok:956 fail:369 changes:0  3.3/s
  1350/5050  ok:975 fail:375 changes:0  3.3/s
  1375/5050  ok:995 fail:380 changes:0  3.3/s
  1400/5050  ok:1012 fail:388 changes:0  3.3/s
  1425/5050  ok:1031 fail:394 changes:0  3.3/s
  1450/5050  ok:1050 fail:400 changes:0  3.3/s
  1475/5050  ok:1072 fail:403 changes:0  3.3/s
  1500/5050  ok:1084 fail:416 changes:0  3.3/s
  1525/5050  ok:1105 fail:420 changes:0  3.3/s
  1550/5050  ok:1129 fail:421 changes:0  3.3/s
  1575/5050  ok:1146 fail:429 changes:0  3.3/s
  1600/5050  ok:1164 fail:436 changes:0  3.4/s
  1625/5050  ok:1177 fail:448 changes:0  3.4/s
  1650/5050  ok:1193 fail:457 changes:0  3.4/s
  1675/5050  ok:1214 fail:461 changes:0  3.4/s
  1700/5050  ok:1230 fail:470 changes:0  3.3/s
  1725/5050  ok:1253 fail:472 changes:0  3.3/s
